x0000,y0000
1.687368126e+15,1.744,
1.687368247e+15,1.761,
1.687368367e+15,1.817,
1.687368486e+15,1.882,
1.687368607e+15,1.941,
1.687368727e+15,2.005,
1.687368846e+15,2.079,
1.687368966e+15,2.18,
1.687369087e+15,2.168,
1.687369207e+15,2.206,
1.687369326e+15,2.226,
1.687369446e+15,2.226,
1.687369567e+15,2.226,
1.687369686e+15,2.332,
1.687369806e+15,2.264,
1.687369927e+15,2.327,
1.687370047e+15,2.325,
1.687370167e+15,2.355,
1.687370286e+15,2.385,
1.687370407e+15,2.427,
1.687370526e+15,2.488,
1.687370646e+15,2.519,
1.687370766e+15,2.552,
1.687370886e+15,2.593,
1.687371006e+15,2.626,
1.687371127e+15,2.709,
1.687371247e+15,2.819,
1.687371367e+15,2.832,
1.687371487e+15,2.808,
1.687371607e+15,2.846,
1.687371727e+15,2.873,
1.687371847e+15,2.894,
1.687371967e+15,2.893,
1.687372087e+15,2.911,
1.687372207e+15,2.934,
1.687372327e+15,2.986,
1.687372447e+15,3.049,
1.687372567e+15,3.102,
1.687372687e+15,3.145,
1.687372807e+15,3.168,
1.687372927e+15,3.286,
1.687373047e+15,3.313,
1.687373167e+15,3.258,
1.687373287e+15,3.286,
1.687373407e+15,3.359,
1.687373527e+15,3.294,
1.687373647e+15,3.328,
1.687373767e+15,3.336,
1.687373887e+15,3.361,
1.687374007e+15,3.39,
1.687374127e+15,3.37,
1.687374247e+15,3.389,
1.687374367e+15,3.417,
1.687374487e+15,3.51,
1.687374607e+15,3.476,
1.687374727e+15,3.539,
1.687374847e+15,3.54,
1.687374967e+15,3.548,
1.687375087e+15,3.561,
1.687375207e+15,3.637,
1.687375327e+15,3.621,
1.687375447e+15,3.651,
1.687375566e+15,3.66,
1.687375687e+15,3.682,
1.687375807e+15,3.72,
1.687375927e+15,3.745,
1.687376047e+15,3.794,
1.687376167e+15,3.849,
1.687376287e+15,3.856,
1.687376407e+15,3.885,
1.687376526e+15,3.921,
1.687376647e+15,3.962,
1.687376767e+15,4.007,
1.687376886e+15,4.037,
1.687377007e+15,4.088,
1.687377127e+15,4.167,
1.687377247e+15,4.204,
1.687377367e+15,4.185,
1.687377487e+15,4.21,
1.687377607e+15,4.178,
1.687377727e+15,4.198,
1.687377847e+15,4.223,
1.687377967e+15,4.217,
1.687378087e+15,4.244,
1.687378206e+15,4.245,
1.687378327e+15,4.275,
1.687378447e+15,4.281,
1.687378567e+15,4.281,
1.687378687e+15,4.35,
1.687378807e+15,4.411,
1.687378927e+15,4.393,
1.687379047e+15,4.396,
1.687379167e+15,4.39,
1.687379287e+15,4.397,
1.687379407e+15,4.434,
1.687379527e+15,4.408,
1.687379647e+15,4.407,
1.687379767e+15,4.42,
1.687379887e+15,4.422,
1.687380007e+15,4.441,
1.687380127e+15,4.424,
1.687380247e+15,4.45,
1.687380367e+15,4.469,
1.687380487e+15,4.482,
1.687380607e+15,4.524,
1.687380727e+15,4.53,
1.687380847e+15,4.569,
1.687380967e+15,4.586,
1.687381087e+15,4.605,
1.687381207e+15,4.613,
1.687381327e+15,4.661,
1.687381447e+15,4.672,
1.687381567e+15,4.734,
1.687381687e+15,4.768,
1.687381807e+15,4.796,
1.687381927e+15,4.824,
1.687382047e+15,4.829,
1.687382167e+15,4.843,
1.687382287e+15,4.857,
1.687382406e+15,4.87,
1.687382527e+15,4.853,
1.687382647e+15,4.871,
1.687382767e+15,4.882,
1.687382887e+15,4.887,
1.687383007e+15,4.916,
1.687383127e+15,4.911,
1.687383246e+15,4.931,
1.687383367e+15,4.929,
1.687383487e+15,4.95,
1.687383607e+15,4.962,
1.687383727e+15,4.989,
1.687383846e+15,4.999,
1.687383967e+15,5.008,
1.687384087e+15,5.011,
1.687384207e+15,5.005,
1.687384327e+15,5.008,
1.687384447e+15,5.035,
1.687384567e+15,5.049,
1.687384687e+15,4.958,
1.687384807e+15,4.99,
1.687384927e+15,4.966,
1.687385047e+15,5.042,
1.687385167e+15,5.032,
1.687385287e+15,5.051,
1.687385407e+15,5.036,
1.687385527e+15,5.047,
1.687385647e+15,5.085,
1.687385767e+15,5.082,
1.687385887e+15,5.225,
1.687386007e+15,5.216,
1.687386127e+15,5.184,
1.687386247e+15,5.185,
1.687386367e+15,5.202,
1.687386487e+15,5.211,
1.687386607e+15,5.317,
