x0000,y0000
1.687368126e+15,5.868,
1.687368247e+15,5.874,
1.687368367e+15,5.927,
1.687368486e+15,5.961,
1.687368607e+15,5.986,
1.687368727e+15,6.025,
1.687368846e+15,6.102,
1.687368966e+15,6.077,
1.687369087e+15,6.117,
1.687369207e+15,6.115,
1.687369326e+15,6.139,
1.687369446e+15,6.124,
1.687369567e+15,6.114,
1.687369686e+15,6.123,
1.687369806e+15,6.109,
1.687369927e+15,6.127,
1.687370047e+15,6.132,
1.687370167e+15,6.146,
1.687370286e+15,6.132,
1.687370407e+15,6.132,
1.687370526e+15,6.148,
1.687370646e+15,6.156,
1.687370766e+15,6.19,
1.687370886e+15,6.215,
1.687371006e+15,6.251,
1.687371127e+15,6.292,
1.687371247e+15,6.365,
1.687371367e+15,6.392,
1.687371487e+15,6.406,
1.687371607e+15,6.471,
1.687371727e+15,6.48,
1.687371847e+15,6.475,
1.687371967e+15,6.48,
1.687372087e+15,6.467,
1.687372207e+15,6.456,
1.687372327e+15,6.447,
1.687372447e+15,6.428,
1.687372567e+15,6.472,
1.687372687e+15,6.472,
1.687372807e+15,6.493,
1.687372927e+15,6.56,
1.687373047e+15,6.575,
1.687373167e+15,6.552,
1.687373287e+15,6.581,
1.687373407e+15,6.595,
1.687373527e+15,6.563,
1.687373647e+15,6.583,
1.687373767e+15,6.576,
1.687373887e+15,6.575,
1.687374007e+15,6.546,
1.687374127e+15,6.542,
1.687374247e+15,6.544,
1.687374367e+15,6.516,
1.687374487e+15,6.514,
1.687374607e+15,6.482,
1.687374727e+15,6.508,
1.687374847e+15,6.529,
1.687374967e+15,6.552,
1.687375087e+15,6.516,
1.687375207e+15,6.529,
1.687375327e+15,6.515,
1.687375447e+15,6.495,
1.687375566e+15,6.55,
1.687375687e+15,6.514,
1.687375807e+15,6.551,
1.687375927e+15,6.571,
1.687376047e+15,6.573,
1.687376167e+15,6.58,
1.687376287e+15,6.602,
1.687376407e+15,6.631,
1.687376526e+15,6.659,
1.687376647e+15,6.708,
1.687376767e+15,6.727,
1.687376886e+15,6.764,
1.687377007e+15,6.8,
1.687377127e+15,6.803,
1.687377247e+15,6.862,
1.687377367e+15,6.875,
1.687377487e+15,6.892,
1.687377607e+15,6.934,
1.687377727e+15,6.915,
1.687377847e+15,6.931,
1.687377967e+15,6.898,
1.687378087e+15,6.922,
1.687378206e+15,6.939,
1.687378327e+15,6.916,
1.687378447e+15,6.91,
1.687378567e+15,6.915,
1.687378687e+15,6.9,
1.687378807e+15,6.938,
1.687378927e+15,6.949,
1.687379047e+15,6.944,
1.687379167e+15,6.965,
1.687379287e+15,6.939,
1.687379407e+15,6.911,
1.687379527e+15,6.906,
1.687379647e+15,6.88,
1.687379767e+15,6.909,
1.687379887e+15,6.908,
1.687380007e+15,6.903,
1.687380127e+15,6.882,
1.687380247e+15,6.899,
1.687380367e+15,6.887,
1.687380487e+15,6.889,
1.687380607e+15,6.849,
1.687380727e+15,6.869,
1.687380847e+15,6.867,
1.687380967e+15,6.902,
1.687381087e+15,6.906,
1.687381207e+15,6.919,
1.687381327e+15,6.946,
1.687381447e+15,6.976,
1.687381567e+15,6.998,
1.687381687e+15,7.02,
1.687381807e+15,7.024,
1.687381927e+15,7.055,
1.687382047e+15,7.048,
1.687382167e+15,7.053,
1.687382287e+15,7.081,
1.687382406e+15,7.063,
1.687382527e+15,7.056,
1.687382647e+15,7.063,
1.687382767e+15,7.036,
1.687382887e+15,7.042,
1.687383007e+15,7.049,
1.687383127e+15,7.027,
1.687383246e+15,7.038,
1.687383367e+15,7.076,
1.687383487e+15,7.086,
1.687383607e+15,7.091,
1.687383727e+15,7.101,
1.687383846e+15,7.094,
1.687383967e+15,7.083,
1.687384087e+15,7.097,
1.687384207e+15,7.131,
1.687384327e+15,7.101,
1.687384447e+15,7.088,
1.687384567e+15,7.109,
1.687384687e+15,7.097,
1.687384807e+15,7.081,
1.687384927e+15,7.075,
1.687385047e+15,7.093,
1.687385167e+15,7.082,
1.687385287e+15,7.051,
1.687385407e+15,7.065,
1.687385527e+15,7.071,
1.687385647e+15,7.041,
1.687385767e+15,7.062,
1.687385887e+15,7.047,
1.687386007e+15,7.037,
1.687386127e+15,7.024,
1.687386247e+15,7.046,
1.687386367e+15,7.016,
1.687386487e+15,7.001,
1.687386607e+15,7.024,
1.687386727e+15,7.001,
1.687386847e+15,6.956,
1.687386967e+15,6.975,
1.687387087e+15,6.952,
1.687387207e+15,6.946,
1.687387327e+15,6.966,
1.687387447e+15,6.924,
1.687387567e+15,6.919,
1.687387687e+15,6.963,
1.687387807e+15,6.964,
1.687387927e+15,6.95,
1.687388047e+15,6.957,
1.687388167e+15,6.926,
1.687388287e+15,6.905,
1.687388407e+15,6.93,
1.687388527e+15,6.892,
1.687388647e+15,6.9,
1.687388767e+15,6.899,
1.687388887e+15,6.911,
1.687389007e+15,6.939,
1.687389127e+15,7.006,
1.687389247e+15,7.005,
1.687389367e+15,7.015,
1.687389487e+15,7.022,
1.687389607e+15,7.067,
1.687389726e+15,7.042,
1.687389847e+15,7.052,
1.687389967e+15,7.085,
1.687390087e+15,7.07,
1.687390207e+15,7.089,
1.687390327e+15,7.12,
1.687390447e+15,7.156,
1.687390567e+15,7.191,
1.687390686e+15,7.169,
1.687390807e+15,7.19,
1.687390927e+15,7.194,
1.687391047e+15,7.187,
1.687391167e+15,7.205,
1.687391287e+15,7.18,
1.687391407e+15,7.207,
1.687391527e+15,7.179,
1.687391647e+15,7.182,
1.687391767e+15,7.159,
1.687391887e+15,7.177,
1.687392007e+15,7.172,
1.687392127e+15,7.158,
1.687392247e+15,7.181,
1.687392367e+15,7.185,
1.687392487e+15,7.172,
1.687392607e+15,7.207,
1.687392727e+15,7.149,
1.687392847e+15,7.149,
1.687392967e+15,7.15,
1.687393087e+15,7.098,
1.687393207e+15,7.113,
1.687393327e+15,7.076,
1.687393447e+15,7.09,
1.687393567e+15,7.068,
1.687393687e+15,7.128,
1.687393806e+15,7.131,
1.687393926e+15,7.166,
1.687394046e+15,7.148,
1.687394167e+15,7.163,
1.687394287e+15,7.206,
1.687394407e+15,7.179,
1.687394527e+15,7.176,
1.687394647e+15,7.244,
1.687394767e+15,7.264,
1.687394887e+15,7.263,
1.687395007e+15,7.26,
1.687395127e+15,7.243,
1.687395247e+15,7.27,
1.687395367e+15,7.236,
1.687395487e+15,7.25,
1.687395607e+15,7.268,
1.687395727e+15,7.221,
1.687395847e+15,7.287,
1.687395967e+15,7.263,
1.687396087e+15,7.264,
1.687396207e+15,7.245,
1.687396327e+15,7.246,
1.687396447e+15,7.236,
1.687396567e+15,7.244,
1.687396687e+15,7.288,
1.687396807e+15,7.302,
1.687396927e+15,7.293,
1.687397047e+15,7.254,
1.687397167e+15,7.293,
1.687397287e+15,7.312,
1.687397406e+15,7.288,
1.687397527e+15,7.277,
1.687397647e+15,7.308,
